Date,Open,High,Low,Close,Volume
26-Nov-12,87.12,88.48,87.12,88.46,1728214
23-Nov-12,87.80,87.95,86.85,87.73,850409
21-Nov-12,87.90,88.06,87.22,87.65,1550249
20-Nov-12,87.25,87.84,86.81,87.35,1803471
19-Nov-12,87.05,87.39,85.80,87.00,1984287
16-Nov-12,86.23,86.74,85.15,86.13,2142642
15-Nov-12,87.12,87.77,85.93,86.54,2410437
14-Nov-12,90.49,90.66,86.94,87.12,2591433
13-Nov-12,89.67,91.50,89.25,90.46,1681940
12-Nov-12,89.73,90.58,89.58,90.08,1347673
9-Nov-12,89.95,90.41,89.32,89.73,1938657
8-Nov-12,91.41,91.74,90.00,90.03,1461889
7-Nov-12,92.71,92.73,91.00,91.51,1575679
6-Nov-12,92.89,93.79,92.55,93.39,1348963
5-Nov-12,92.47,92.94,92.14,92.84,1066824
2-Nov-12,93.37,93.98,92.37,92.64,1385048
1-Nov-12,91.54,93.20,91.54,93.01,1737954
31-Oct-12,90.94,92.11,90.62,91.99,1844353
26-Oct-12,90.79,91.56,90.14,90.69,1638932
25-Oct-12,91.18,91.72,90.07,91.12,1532170
24-Oct-12,92.11,92.11,90.65,90.83,1447530
23-Oct-12,91.55,92.10,91.02,91.79,2192381
22-Oct-12,92.12,92.25,90.86,91.48,1678340
19-Oct-12,93.24,93.45,91.48,92.11,2474319
18-Oct-12,92.49,94.26,92.49,93.49,2346184
17-Oct-12,91.99,93.09,91.83,92.95,2378422
16-Oct-12,91.00,91.96,90.28,91.92,2601978
15-Oct-12,90.51,91.20,90.21,90.65,2526729
12-Oct-12,90.28,91.09,90.01,90.40,2630043
11-Oct-12,91.70,92.50,90.00,90.00,4171464
10-Oct-12,88.31,90.93,88.19,89.99,8995097
9-Oct-12,86.53,86.78,85.55,85.58,2013065
8-Oct-12,86.34,86.82,85.90,86.37,1610915
5-Oct-12,86.85,87.48,86.39,86.47,2734340
4-Oct-12,85.92,86.62,85.61,86.53,2060194
3-Oct-12,84.80,85.88,84.40,85.62,1726297
2-Oct-12,85.18,85.81,84.21,84.50,1683387
1-Oct-12,84.93,85.94,84.53,85.02,2037116
28-Sep-12,85.38,85.47,84.17,84.62,2408722
27-Sep-12,84.96,85.80,84.56,85.77,2500089
26-Sep-12,84.27,84.95,83.98,84.39,2369244
25-Sep-12,85.59,85.85,84.53,84.54,2829828
24-Sep-12,84.00,85.50,83.92,85.16,2832465
21-Sep-12,85.89,85.89,84.15,84.39,5204313
20-Sep-12,86.30,86.58,84.90,85.17,4072303
19-Sep-12,86.51,87.08,85.90,86.90,4024640
18-Sep-12,86.95,88.33,86.36,86.55,6413419
17-Sep-12,89.71,90.09,88.92,89.28,2381758
14-Sep-12,90.10,90.74,89.81,90.15,2294252
13-Sep-12,89.01,90.92,88.23,90.36,2144418
12-Sep-12,88.98,89.13,88.40,89.08,1421726
11-Sep-12,88.21,89.09,88.10,88.70,2089151
10-Sep-12,87.19,88.27,87.11,87.96,2305140
7-Sep-12,87.50,87.58,87.02,87.38,1530894
6-Sep-12,85.87,87.64,85.87,87.54,2694124
5-Sep-12,85.60,87.17,85.31,85.80,5980710
4-Sep-12,87.10,88.11,86.87,87.54,1990718
31-Aug-12,87.70,87.97,87.16,87.63,1484329
30-Aug-12,87.50,87.65,86.88,87.19,1811585
29-Aug-12,87.37,87.92,87.18,87.63,1516295
28-Aug-12,87.90,88.08,86.87,87.46,2002095
27-Aug-12,89.18,89.26,87.82,88.00,1102241
24-Aug-12,88.53,89.38,88.18,89.07,948388
23-Aug-12,89.54,89.75,88.46,88.86,1049460
22-Aug-12,90.01,90.33,89.43,89.54,1415291
21-Aug-12,90.02,91.12,89.78,90.31,1944211
20-Aug-12,89.64,90.10,89.32,89.98,1817529
17-Aug-12,89.87,90.68,89.70,90.00,1679410
16-Aug-12,89.48,90.11,88.92,89.74,1935817
15-Aug-12,87.73,89.78,87.59,89.55,2490878
14-Aug-12,87.92,88.33,87.40,87.58,1551376
13-Aug-12,87.69,88.34,87.04,87.77,1334137
10-Aug-12,88.05,88.38,87.23,87.80,2222818
9-Aug-12,89.30,89.46,88.50,88.66,1481453
8-Aug-12,89.50,89.53,88.70,89.31,1345710
7-Aug-12,90.68,90.68,89.39,89.82,1411610
6-Aug-12,90.33,90.80,89.86,90.12,906589
3-Aug-12,89.04,90.21,89.02,89.82,1623392
2-Aug-12,87.71,88.35,87.04,87.92,1901131
1-Aug-12,90.66,90.80,88.40,88.85,1725081
31-Jul-12,90.95,91.21,90.29,90.30,1760637
30-Jul-12,90.52,91.17,90.33,90.99,1396819
27-Jul-12,89.51,91.81,88.95,90.89,2399535
26-Jul-12,88.74,89.34,88.20,88.55,1893524
25-Jul-12,87.96,88.05,86.84,87.23,2105275
24-Jul-12,88.16,88.47,86.22,87.67,3751484
23-Jul-12,88.69,89.56,88.40,89.26,1476440
20-Jul-12,92.08,92.29,89.98,90.08,2135899
19-Jul-12,92.79,93.17,92.53,92.79,1289294
18-Jul-12,91.08,93.00,90.91,92.72,1322126
17-Jul-12,92.09,92.09,90.21,91.25,2011880
16-Jul-12,92.07,92.29,91.42,91.92,1210448
13-Jul-12,89.63,92.56,89.63,92.35,1847324
12-Jul-12,90.00,90.10,88.93,89.50,2173576
11-Jul-12,90.31,90.98,89.98,90.61,1637892
10-Jul-12,90.99,91.98,89.92,90.48,1668021
9-Jul-12,91.07,91.76,90.65,91.13,1162890
6-Jul-12,91.25,91.99,90.50,91.28,1310231
5-Jul-12,91.91,92.57,91.40,92.11,1398427
3-Jul-12,91.44,92.80,91.13,92.60,1033017
2-Jul-12,91.59,91.87,89.55,91.54,1833807
29-Jun-12,90.29,91.61,89.68,91.61,2078174
28-Jun-12,87.42,88.90,87.31,88.79,1432206
27-Jun-12,87.60,88.21,87.13,87.90,1836408
26-Jun-12,88.83,89.02,87.18,87.55,2202872
25-Jun-12,89.57,89.63,87.82,88.81,1933355
22-Jun-12,91.26,91.26,89.83,90.54,2718955
21-Jun-12,91.76,92.16,90.55,90.63,2893997
20-Jun-12,90.64,92.31,90.31,91.34,3132291
19-Jun-12,87.02,91.95,86.79,91.01,4691928
18-Jun-12,87.40,88.99,87.16,88.51,2622826
15-Jun-12,87.35,87.67,86.54,87.63,2094015
14-Jun-12,86.53,87.44,85.99,86.84,2333682
13-Jun-12,87.09,87.41,85.57,86.19,2572967
12-Jun-12,86.47,87.83,85.97,87.69,1783510
11-Jun-12,88.17,88.35,86.12,86.28,2126421
8-Jun-12,86.45,87.63,86.00,87.57,1760710
7-Jun-12,88.02,88.36,86.00,86.10,2643452
6-Jun-12,85.00,86.83,84.91,86.83,2407107
5-Jun-12,85.10,85.69,83.80,84.34,2227944
4-Jun-12,85.19,85.99,84.52,85.20,1956735
1-Jun-12,87.22,87.55,85.09,85.25,3163853
31-May-12,88.80,89.96,87.62,89.14,1621330
30-May-12,89.44,90.24,88.65,88.93,1649385
29-May-12,89.67,91.43,89.51,90.98,1566113
25-May-12,90.24,90.50,88.68,89.28,1302221
24-May-12,88.84,90.40,88.74,90.02,2244078
23-May-12,86.10,88.90,85.82,88.74,2152585
22-May-12,86.90,87.79,86.32,86.85,1730576
21-May-12,85.01,86.90,84.90,86.70,1548000
18-May-12,87.26,87.35,84.86,85.07,2555392
17-May-12,87.92,88.46,86.68,86.77,3414773
16-May-12,88.38,89.50,87.79,87.89,1609824
15-May-12,87.75,88.84,87.38,87.81,1977101
14-May-12,86.83,88.33,86.80,87.78,1578203
11-May-12,86.17,88.06,86.17,87.80,1629706
10-May-12,87.51,88.59,86.47,86.65,1714695
9-May-12,87.76,87.80,86.67,87.13,2547657
8-May-12,88.72,89.03,87.82,88.96,2156298
7-May-12,88.24,90.12,88.11,89.37,1797056
4-May-12,89.02,89.66,88.20,89.30,2839898
3-May-12,89.15,89.74,88.75,88.86,2199958
2-May-12,88.75,89.57,88.47,89.35,943182
1-May-12,88.14,89.83,87.57,89.04,1385377
30-Apr-12,88.29,88.75,87.83,88.24,1243760
27-Apr-12,88.10,88.48,87.00,88.24,1590375
26-Apr-12,87.29,87.73,86.20,87.55,2991182
25-Apr-12,89.33,89.83,87.70,88.22,1788346
24-Apr-12,88.56,89.19,88.15,88.94,1257103
23-Apr-12,88.65,88.75,87.56,88.11,1878006
20-Apr-12,89.52,90.13,88.97,89.67,2421647
19-Apr-12,90.42,90.69,88.70,89.39,2058782
18-Apr-12,90.25,90.85,89.85,90.39,1371576
17-Apr-12,89.00,90.77,88.74,90.46,2306003
16-Apr-12,88.57,88.90,87.74,88.18,1550386
13-Apr-12,89.23,89.78,88.00,88.03,2059257
12-Apr-12,88.06,90.35,88.04,89.84,2631743
11-Apr-12,87.81,88.50,87.58,87.91,2360655
10-Apr-12,88.15,88.30,86.42,86.63,2575269
9-Apr-12,88.90,89.27,88.16,88.47,2118176
5-Apr-12,90.27,90.62,90.03,90.39,1230688
4-Apr-12,90.85,91.08,90.12,90.64,1457895
3-Apr-12,91.97,92.28,90.56,91.49,1825063
2-Apr-12,92.04,92.85,91.50,92.19,1658297
30-Mar-12,92.08,92.30,91.04,91.96,1685868
29-Mar-12,90.70,91.87,89.90,91.74,2118413
28-Mar-12,92.13,92.23,90.51,91.49,2569707
27-Mar-12,92.92,93.18,91.89,91.90,2429506
26-Mar-12,93.15,93.29,92.24,92.77,3103161
23-Mar-12,92.32,92.52,90.39,92.38,3640350
22-Mar-12,93.36,94.15,91.26,92.50,6667710
21-Mar-12,94.97,96.89,94.42,95.82,4103111
20-Mar-12,94.57,95.26,93.88,94.64,1637575
19-Mar-12,95.87,95.98,94.49,94.89,2442255
16-Mar-12,94.86,95.08,93.57,94.34,2477165
15-Mar-12,92.50,95.04,92.34,94.61,2628931
14-Mar-12,92.90,92.97,91.45,92.20,1434569
13-Mar-12,92.00,92.97,91.40,92.88,1624916
12-Mar-12,91.83,91.93,90.36,91.33,1408545
9-Mar-12,91.44,92.19,90.07,91.79,1801094
8-Mar-12,90.62,91.50,89.67,90.99,2103413
7-Mar-12,89.23,90.18,89.03,89.76,1724771
6-Mar-12,89.11,89.37,88.03,88.75,2257874
5-Mar-12,90.58,90.73,89.80,90.43,1263090
2-Mar-12,91.17,91.68,90.51,90.78,1147337
1-Mar-12,90.15,91.76,90.15,91.12,2019227
29-Feb-12,90.98,91.85,89.77,89.99,2953707
28-Feb-12,91.43,91.91,90.40,90.98,2204349
27-Feb-12,89.53,92.43,89.42,91.36,2105755
24-Feb-12,91.99,92.22,89.84,90.24,2300398
23-Feb-12,91.20,92.30,90.50,91.97,1568209
22-Feb-12,90.74,91.84,90.66,90.75,1843383
21-Feb-12,93.11,93.15,90.41,91.01,3594351
17-Feb-12,95.73,95.84,92.51,92.99,5154340
16-Feb-12,93.99,95.33,93.99,95.00,1848173
15-Feb-12,95.97,95.97,93.70,94.15,1714270
14-Feb-12,96.52,96.98,94.84,95.55,2307202
13-Feb-12,95.80,97.19,95.65,96.98,2120449
10-Feb-12,93.89,95.35,93.60,95.27,1586297
9-Feb-12,94.42,95.26,94.25,94.80,1572976
8-Feb-12,94.95,95.33,94.04,94.48,1361114
7-Feb-12,94.55,95.09,93.60,94.72,1837467
6-Feb-12,94.56,95.60,94.52,95.25,2122649
3-Feb-12,93.77,94.54,93.61,94.54,1620518
2-Feb-12,93.07,93.44,92.08,92.79,1299694
1-Feb-12,92.79,93.24,91.99,92.70,2013724
31-Jan-12,92.33,92.33,90.42,91.49,1723803
30-Jan-12,92.11,92.34,91.50,92.16,1723381
27-Jan-12,92.24,93.48,91.78,92.95,1910600
26-Jan-12,92.75,93.50,92.27,92.74,1659179
25-Jan-12,90.69,92.63,90.07,92.59,1727410
24-Jan-12,90.40,91.20,89.67,90.79,1467782
23-Jan-12,91.74,92.52,90.52,91.06,1662839
20-Jan-12,92.59,92.60,91.25,91.57,2448011
19-Jan-12,91.68,93.52,91.45,93.04,2781428
18-Jan-12,90.05,91.46,89.88,91.14,2189592
17-Jan-12,90.14,90.86,89.07,89.98,2424742
13-Jan-12,90.02,90.50,88.85,90.37,2659799
12-Jan-12,90.08,91.40,89.89,91.19,3324349
11-Jan-12,88.08,90.03,87.77,89.76,3055482
10-Jan-12,87.16,89.40,87.15,88.51,3403381
9-Jan-12,85.84,85.98,85.24,85.85,1659549
6-Jan-12,84.56,86.06,84.53,85.49,2156889
5-Jan-12,84.42,84.49,82.79,84.09,2218753
4-Jan-12,84.73,85.17,84.21,84.96,1443517
3-Jan-12,85.47,85.91,84.48,85.17,2209916
30-Dec-11,84.47,84.51,83.33,83.51,1448466
29-Dec-11,83.40,84.39,83.00,84.31,1313211
28-Dec-11,84.57,84.70,82.78,82.97,1561723
27-Dec-11,84.82,85.41,84.57,84.70,1127577
23-Dec-11,84.72,85.05,83.81,84.92,1247666
22-Dec-11,84.56,85.36,84.03,84.47,1248005
21-Dec-11,83.60,84.31,82.38,84.24,1854583
20-Dec-11,82.98,84.39,82.77,83.81,2591437
19-Dec-11,84.75,85.42,80.91,81.35,3132013
16-Dec-11,84.10,86.37,83.92,84.89,5315550
15-Dec-11,80.14,83.81,79.97,83.47,9175877
14-Dec-11,78.67,79.07,76.95,77.29,4152318
13-Dec-11,82.09,82.41,78.29,78.96,3509853
12-Dec-11,81.94,82.18,80.95,81.63,2379386
9-Dec-11,82.69,83.64,82.02,83.24,1803366
8-Dec-11,83.51,84.43,82.18,82.47,2654263
7-Dec-11,82.48,84.66,82.05,84.19,2450012
6-Dec-11,83.43,83.53,82.10,82.67,2109325
5-Dec-11,83.86,84.22,82.38,83.20,2709723
2-Dec-11,83.17,83.46,81.96,82.14,2646583
1-Dec-11,82.52,82.75,81.61,82.03,2109961
30-Nov-11,81.36,83.20,81.10,83.08,3545095
29-Nov-11,79.47,80.38,78.41,78.58,2683540
28-Nov-11,78.76,80.52,78.31,78.93,2627975
25-Nov-11,76.50,77.38,76.06,76.08,1005135
23-Nov-11,77.37,77.74,76.33,76.56,2053371
22-Nov-11,79.04,79.37,77.95,78.21,1598140
21-Nov-11,79.52,80.00,78.22,79.38,2036768
18-Nov-11,81.19,82.16,80.80,81.22,2239639
17-Nov-11,81.33,82.01,79.68,80.28,2236165
16-Nov-11,81.80,83.12,81.42,81.49,1911390
15-Nov-11,81.57,83.45,81.15,82.64,2675783
14-Nov-11,81.62,82.37,80.78,81.41,1203142
11-Nov-11,81.36,82.39,81.12,82.23,1814738
10-Nov-11,80.35,80.60,79.40,80.12,1866713
9-Nov-11,81.40,81.49,78.85,79.35,2199374
8-Nov-11,82.38,83.13,81.26,83.01,1551909
7-Nov-11,82.04,82.86,80.60,81.93,1867128
4-Nov-11,81.79,82.21,80.31,82.01,1634300
3-Nov-11,81.54,82.53,80.35,82.34,1781901
2-Nov-11,80.90,81.34,79.53,80.57,1952809
1-Nov-11,78.91,80.63,78.61,79.57,2704502
31-Oct-11,83.42,84.16,81.80,81.83,2542806
28-Oct-11,84.40,85.00,83.31,84.25,2882343
27-Oct-11,83.51,85.75,82.93,85.13,4107709
26-Oct-11,81.95,82.20,79.94,81.36,2957951
25-Oct-11,80.51,81.86,79.20,80.72,3689180
24-Oct-11,79.90,82.40,79.90,81.52,3549588
21-Oct-11,77.42,79.92,77.18,79.34,4153170
20-Oct-11,75.33,76.82,74.97,76.59,2634357
19-Oct-11,75.69,76.15,74.97,75.28,2037283
18-Oct-11,73.84,76.56,73.47,75.62,2485942
17-Oct-11,75.47,75.55,73.65,73.97,2543638
14-Oct-11,74.76,75.82,74.65,75.74,2272739
13-Oct-11,74.42,74.42,73.26,73.87,3055739
12-Oct-11,73.98,76.13,73.82,75.18,3034775
11-Oct-11,73.25,73.70,72.60,73.43,2056513
10-Oct-11,72.46,73.63,72.01,73.62,1957850
7-Oct-11,72.31,72.46,70.88,71.06,3389618
6-Oct-11,70.11,72.52,69.33,72.20,3260806
5-Oct-11,68.04,70.92,67.68,70.41,4889981
4-Oct-11,64.18,67.91,64.07,67.86,4388163
3-Oct-11,66.90,67.92,64.97,65.15,4643574
30-Sep-11,68.98,69.55,67.62,67.68,2733032
29-Sep-11,70.46,70.81,68.24,69.70,3227256
28-Sep-11,70.94,71.07,69.10,69.20,3511193
27-Sep-11,71.51,71.62,70.12,70.53,4112659
26-Sep-11,68.10,69.82,67.71,69.75,4467477
23-Sep-11,66.86,68.43,66.61,67.30,4468169
22-Sep-11,70.04,70.09,64.55,66.58,11371086
21-Sep-11,75.00,75.32,72.50,72.50,4096596
20-Sep-11,75.95,76.84,75.00,75.22,3035950
19-Sep-11,74.99,76.16,74.68,75.76,2869909
16-Sep-11,77.57,77.92,75.27,76.40,3690673
15-Sep-11,77.00,77.33,75.64,77.08,2218286
14-Sep-11,75.63,77.12,73.75,76.01,3147101
13-Sep-11,73.64,75.46,73.11,74.97,3227195
12-Sep-11,72.39,73.78,71.54,73.63,3259449
9-Sep-11,74.04,75.08,72.90,73.40,2555392
8-Sep-11,75.71,76.20,74.65,74.99,2543753
7-Sep-11,74.88,76.64,74.34,76.27,3250402
6-Sep-11,72.43,73.82,71.33,73.60,4054106
2-Sep-11,75.95,76.49,74.46,74.90,2739379
1-Sep-11,78.72,80.12,77.90,78.04,2815216
31-Aug-11,79.52,80.71,78.17,78.72,3246468
30-Aug-11,78.31,79.33,77.68,78.83,2065497
29-Aug-11,76.67,78.79,76.67,78.75,2673207
26-Aug-11,74.17,75.85,72.57,75.72,4011738
25-Aug-11,77.29,77.44,74.15,74.76,2617384
24-Aug-11,74.70,77.00,74.23,76.60,3685952
23-Aug-11,73.57,74.79,72.67,74.79,3859111
22-Aug-11,74.92,75.00,72.16,73.00,3420875
19-Aug-11,74.11,75.77,72.89,73.16,3478148
18-Aug-11,77.06,77.34,73.49,74.46,4517167
17-Aug-11,80.52,81.27,78.47,79.13,2951355
16-Aug-11,80.90,81.70,79.28,80.10,3826088
15-Aug-11,81.20,81.98,80.15,81.85,2699077
12-Aug-11,80.29,81.29,79.00,80.48,3280283
11-Aug-11,75.81,81.30,75.67,79.88,4746435
10-Aug-11,78.53,78.67,75.13,75.32,4641456
9-Aug-11,79.19,79.89,75.50,79.75,4804146
8-Aug-11,80.34,81.91,76.75,77.54,7173744
5-Aug-11,83.22,83.72,80.18,82.36,5026650
4-Aug-11,84.78,85.04,81.98,82.10,4364087
3-Aug-11,84.60,86.00,83.46,85.74,4380701
2-Aug-11,85.37,86.03,83.96,84.44,4103400
1-Aug-11,88.05,88.05,85.02,86.00,4120159
29-Jul-11,86.91,88.17,86.33,86.88,3025613
28-Jul-11,89.44,90.18,87.74,87.86,3454650
27-Jul-11,90.24,90.34,88.55,89.14,4036846
26-Jul-11,90.43,91.45,88.70,91.00,4588971
25-Jul-11,91.70,92.35,91.48,91.88,1867655
22-Jul-11,93.26,93.62,92.20,92.79,1635806
21-Jul-11,92.69,94.07,92.33,93.08,1983203
20-Jul-11,92.01,92.81,91.30,92.19,2182026
19-Jul-11,91.22,92.24,90.58,91.77,2550095
18-Jul-11,91.80,91.89,90.05,90.46,3612022
15-Jul-11,92.97,93.28,91.26,92.20,3206740
14-Jul-11,94.46,94.98,92.78,93.06,2828909
13-Jul-11,94.74,95.59,93.99,94.25,2133097
12-Jul-11,94.70,95.09,93.81,94.08,2963001
11-Jul-11,96.75,96.75,94.47,95.08,2534884
8-Jul-11,97.24,97.70,96.96,97.56,2229062
7-Jul-11,97.69,98.66,96.92,98.50,2958803
6-Jul-11,95.58,97.07,95.56,96.78,2365854
5-Jul-11,96.17,96.25,95.20,95.50,1870629
1-Jul-11,94.68,96.83,94.56,96.52,2464572
30-Jun-11,93.84,94.95,93.80,94.85,2079241
29-Jun-11,94.50,94.91,93.10,93.63,2283621
28-Jun-11,93.13,94.19,92.77,94.02,1762010
27-Jun-11,91.97,93.00,91.61,92.85,1931088
24-Jun-11,92.91,93.45,91.57,91.87,4282893
23-Jun-11,91.12,93.45,90.60,92.96,4849946
22-Jun-11,91.50,92.41,90.66,91.44,6025898
21-Jun-11,88.43,89.48,81.22,89.13,3297046
20-Jun-11,86.83,87.86,86.61,87.50,1809136
17-Jun-11,87.26,87.69,86.67,86.99,2133209
16-Jun-11,86.71,87.52,86.00,86.48,2095275
15-Jun-11,86.43,87.29,86.10,86.49,2357111
14-Jun-11,86.59,88.00,86.22,87.43,2732108
13-Jun-11,85.37,86.15,84.95,85.92,2444303
10-Jun-11,86.23,86.39,84.79,85.38,2709369
9-Jun-11,86.08,86.79,85.80,86.21,2938176
8-Jun-11,86.54,86.90,85.46,85.59,3320627
7-Jun-11,87.95,88.23,86.68,86.76,3218956
6-Jun-11,89.99,90.56,87.65,87.75,3268175
3-Jun-11,90.32,91.00,89.90,90.15,2139286
2-Jun-11,91.79,92.50,91.00,91.52,1958059
1-Jun-11,93.95,94.39,91.41,91.43,3444224
31-May-11,92.63,93.73,92.58,93.64,2378638
27-May-11,91.85,92.34,91.60,91.90,1222031
26-May-11,91.31,91.90,90.80,91.36,2350354
25-May-11,90.96,92.30,90.82,91.84,1728031
24-May-11,92.21,92.42,90.93,91.48,1604109
23-May-11,92.56,92.69,91.05,92.04,2539778
20-May-11,94.46,94.59,93.56,93.82,1377876
19-May-11,94.01,94.65,93.50,94.58,1920799
18-May-11,92.87,94.21,92.30,93.65,1926066
17-May-11,92.85,92.92,92.05,92.59,2145186
16-May-11,93.38,94.43,92.98,93.18,1939880
13-May-11,95.17,95.50,93.50,93.58,2780900
12-May-11,95.11,95.13,94.04,94.96,2237305
11-May-11,95.43,96.50,94.79,95.16,2581567
10-May-11,95.36,96.24,95.16,95.74,1660371
9-May-11,95.60,95.64,94.56,94.91,1542349
6-May-11,96.14,96.39,95.14,95.65,2523027
5-May-11,92.16,95.99,91.80,95.29,3639273
4-May-11,93.70,94.58,92.42,92.64,2293602
3-May-11,94.00,94.78,93.63,94.22,1528411
2-May-11,96.25,96.89,94.03,94.37,2281181
29-Apr-11,95.55,96.25,95.30,95.67,1431673
28-Apr-11,94.53,95.76,94.45,95.28,1614900
27-Apr-11,94.65,94.99,93.37,94.80,1515090
26-Apr-11,94.26,95.03,94.06,94.49,1888648
25-Apr-11,93.75,94.13,92.90,93.85,1348010
21-Apr-11,93.72,94.23,93.39,93.94,1821888
20-Apr-11,93.00,94.19,92.36,93.23,1903620
19-Apr-11,92.51,92.98,91.52,91.85,1678514
18-Apr-11,91.34,92.24,91.10,91.96,2295267
15-Apr-11,93.01,93.35,92.19,92.58,1976220
14-Apr-11,92.94,93.99,92.66,92.94,2148920
13-Apr-11,94.59,94.67,93.07,93.43,2111447
12-Apr-11,92.17,94.40,91.96,94.08,3370278
11-Apr-11,91.30,92.86,90.66,92.53,3346218
8-Apr-11,93.85,94.18,90.82,91.16,2920507
7-Apr-11,94.26,94.72,93.41,93.91,1477763
6-Apr-11,95.16,95.35,93.80,94.59,1620163
5-Apr-11,94.69,95.28,94.11,94.19,1438229
4-Apr-11,95.01,95.42,94.46,95.12,1311268
1-Apr-11,95.00,96.50,94.58,95.00,3428102
31-Mar-11,93.21,94.41,93.02,93.55,1614887
30-Mar-11,93.31,94.40,93.14,93.75,1639749
29-Mar-11,92.93,93.30,92.13,93.04,1754550
28-Mar-11,91.09,93.68,90.60,93.02,4365689
25-Mar-11,90.87,91.06,89.85,90.28,2311335
24-Mar-11,89.28,90.90,89.12,90.79,2528744
23-Mar-11,87.83,89.38,87.05,88.96,1950958
22-Mar-11,89.67,89.68,88.19,88.29,1952036
21-Mar-11,90.37,90.48,89.61,89.86,2140560
18-Mar-11,90.10,90.21,88.27,89.28,3962961
17-Mar-11,89.79,90.40,87.49,87.89,6610160
16-Mar-11,87.36,87.66,85.03,85.28,4908757
15-Mar-11,86.02,89.06,85.97,87.79,3928893
14-Mar-11,89.72,89.86,87.20,88.63,5339790
11-Mar-11,90.08,91.25,89.86,90.71,2943996
10-Mar-11,89.72,91.33,88.80,89.95,3275410
9-Mar-11,89.53,91.00,89.00,90.78,2631065
8-Mar-11,88.27,90.30,88.27,89.95,3592637
7-Mar-11,88.88,89.38,87.11,88.26,3361406
4-Mar-11,89.87,90.00,87.80,88.69,2749034
3-Mar-11,88.33,90.58,88.18,89.79,4556185
2-Mar-11,88.01,88.65,86.32,87.32,3989315
1-Mar-11,90.57,90.58,87.60,87.88,4844142
28-Feb-11,91.01,91.02,89.77,90.02,2300806
25-Feb-11,90.57,90.92,89.75,89.88,2600974
24-Feb-11,89.35,90.76,89.08,89.81,3941850
23-Feb-11,93.10,93.11,87.54,89.25,7028519
22-Feb-11,96.05,96.20,92.91,93.29,3847119
18-Feb-11,97.86,98.52,97.31,98.32,2434830
17-Feb-11,96.39,97.70,96.37,97.47,1513801
16-Feb-11,96.37,97.10,95.90,96.84,2252498
15-Feb-11,95.01,96.70,94.89,95.98,5404283
14-Feb-11,95.03,95.70,93.81,93.99,2822068
11-Feb-11,93.87,95.89,93.80,95.42,2045568
10-Feb-11,91.31,94.69,91.31,94.44,3024598
9-Feb-11,91.71,92.17,91.00,91.60,1762955
8-Feb-11,91.38,92.40,91.17,92.05,1653473
7-Feb-11,91.84,92.75,91.30,91.46,2144202
4-Feb-11,91.60,91.82,90.53,91.74,1986751
3-Feb-11,91.94,92.30,91.10,91.46,3933194
2-Feb-11,92.07,92.12,90.52,90.80,4175163
1-Feb-11,92.75,93.96,92.28,92.69,4053590
31-Jan-11,91.00,91.50,90.01,90.32,3088690
28-Jan-11,94.52,94.64,90.18,90.48,4654111
27-Jan-11,94.41,94.84,93.80,94.36,1863259
26-Jan-11,94.13,94.77,93.27,94.31,2181801
25-Jan-11,94.03,94.35,93.30,93.99,1421437
24-Jan-11,93.12,94.44,92.97,94.37,2039041
21-Jan-11,94.42,94.64,92.87,93.34,1872213
20-Jan-11,93.54,94.02,92.79,93.51,2253275
19-Jan-11,95.63,95.72,93.57,94.34,2039664
18-Jan-11,96.31,96.79,95.08,95.80,1565268
14-Jan-11,95.65,97.00,95.31,95.83,2601136
13-Jan-11,94.91,96.17,94.62,95.63,2725815
12-Jan-11,93.92,95.14,93.28,95.00,3155584
11-Jan-11,94.79,94.79,92.45,93.31,2636261
10-Jan-11,93.01,94.98,92.25,94.06,2959612
7-Jan-11,93.00,94.32,91.80,93.15,5209329
6-Jan-11,93.70,93.93,92.91,93.10,1891220
5-Jan-11,92.52,94.27,92.37,93.87,2352177
4-Jan-11,93.38,93.87,92.06,93.12,2412588
3-Jan-11,93.54,94.29,93.12,93.19,2037644
31-Dec-10,92.53,93.41,92.41,93.01,1015099
30-Dec-10,92.82,93.24,92.70,92.96,764939
29-Dec-10,93.07,93.25,92.64,92.80,790031
28-Dec-10,93.24,93.36,92.59,93.02,839313
27-Dec-10,92.49,93.20,92.49,93.03,678093
23-Dec-10,93.03,93.52,92.57,93.01,881206
22-Dec-10,93.83,93.90,92.82,93.37,1246676
21-Dec-10,93.80,94.49,93.47,93.69,1547291
20-Dec-10,93.81,93.89,92.81,93.56,1605395
17-Dec-10,94.23,94.31,92.24,93.07,2993174
16-Dec-10,91.86,94.79,91.28,94.22,6865031
15-Dec-10,93.33,93.50,92.39,92.39,2196843
14-Dec-10,94.42,94.77,92.93,93.33,2354217
13-Dec-10,94.90,95.19,94.26,94.31,2187023
10-Dec-10,94.10,94.10,92.63,93.98,1754213
9-Dec-10,93.67,94.28,93.30,94.09,2650361
8-Dec-10,92.43,93.28,92.10,92.81,1402948
7-Dec-10,94.18,94.60,92.64,92.66,3026381
6-Dec-10,94.53,94.67,93.04,93.29,2323797
3-Dec-10,94.51,95.48,94.36,95.00,1835349
2-Dec-10,94.35,96.23,94.10,95.21,2400220
1-Dec-10,93.24,95.00,93.10,93.99,3220498
30-Nov-10,91.21,93.03,91.00,91.12,4811181
29-Nov-10,89.00,91.98,88.47,91.59,5128271
